Category,Rating,Reviews,Installs
BEAUTY,4.191512757553112,182,100000
BEAUTY,4.2,30,10000
BEAUTY,4.5,134,10000
BEAUTY,4.4,74,10000
BEAUTY,4.0,113715,10000000
BEAUTY,4.1,3595,500000
BEAUTY,4.1,9315,1000000
BEAUTY,4.4,75,50000
BEAUTY,4.6,38,10000
BEAUTY,4.5,26834,1000000
BEAUTY,4.191512757553112,119,50000
BEAUTY,3.9,2277,500000
BEAUTY,4.4,2280,500000
BEAUTY,4.191512757553112,654,100000
BEAUTY,4.6,184,10000
BEAUTY,3.8,9,5000
BEAUTY,4.191512757553112,77,10000
BEAUTY,4.191512757553112,35,10000
BEAUTY,4.0,364,100000
BEAUTY,4.3,18,5000
BEAUTY,4.5,473,100000
BEAUTY,4.191512757553112,30,10000
BEAUTY,4.1,66,10000
BEAUTY,3.7,3871,1000000
BEAUTY,4.7,257,50000
BEAUTY,4.2,62,10000
BOOKS_AND_REFERENCE,4.6,2914724,100000000
BOOKS_AND_REFERENCE,4.5,1857,50000
BOOKS_AND_REFERENCE,4.6,4478,100000
BOOKS_AND_REFERENCE,4.4,577550,10000000
BOOKS_AND_REFERENCE,4.2,814080,100000000
BOOKS_AND_REFERENCE,4.5,246315,10000000
BOOKS_AND_REFERENCE,4.5,454060,10000000
BOOKS_AND_REFERENCE,4.5,155446,10000000
BOOKS_AND_REFERENCE,4.5,418,100000
BOOKS_AND_REFERENCE,4.4,22486,1000000
BOOKS_AND_REFERENCE,4.5,203130,10000000
BOOKS_AND_REFERENCE,4.6,1435,500000
BOOKS_AND_REFERENCE,4.8,116507,1000000
BOOKS_AND_REFERENCE,3.9,1433233,1000000000
BOOKS_AND_REFERENCE,4.6,90468,5000000
BOOKS_AND_REFERENCE,4.2,860,100000
BOOKS_AND_REFERENCE,4.1,363934,10000000
BOOKS_AND_REFERENCE,4.7,967,500000
BOOKS_AND_REFERENCE,4.2,87873,10000000
BOOKS_AND_REFERENCE,4.3,17506,1000000
BOOKS_AND_REFERENCE,3.3,1862,1000000
BOOKS_AND_REFERENCE,4.6,2084,500000
BOOKS_AND_REFERENCE,4.8,47303,1000000
BOOKS_AND_REFERENCE,4.7,19080,500000
BOOKS_AND_REFERENCE,4.191512757553112,161,10000
BOOKS_AND_REFERENCE,4.1,85842,5000000
BOOKS_AND_REFERENCE,4.6,7831,100000
BOOKS_AND_REFERENCE,4.1,91615,5000000
BOOKS_AND_REFERENCE,4.6,4620,500000
BOOKS_AND_REFERENCE,4.7,21336,1000000
BOOKS_AND_REFERENCE,4.5,26875,500000
BOOKS_AND_REFERENCE,3.9,1778,500000
BOOKS_AND_REFERENCE,4.4,2709,1000000
BOOKS_AND_REFERENCE,4.3,64513,5000000
BOOKS_AND_REFERENCE,4.2,8342,10000000
BOOKS_AND_REFERENCE,4.5,527,100000
BOOKS_AND_REFERENCE,4.4,1322,100000
BOOKS_AND_REFERENCE,3.4,1680,100000
BOOKS_AND_REFERENCE,4.9,2739,50000
BOOKS_AND_REFERENCE,4.6,1065,500000
BOOKS_AND_REFERENCE,4.4,233757,10000000
BOOKS_AND_REFERENCE,4.191512757553112,2,50000
BOOKS_AND_REFERENCE,4.4,8788,1000000
BOOKS_AND_REFERENCE,4.4,51269,1000000
BOOKS_AND_REFERENCE,4.4,30105,1000000
BOOKS_AND_REFERENCE,3.5,156,500000
BOOKS_AND_REFERENCE,4.191512757553112,114,100000
BOOKS_AND_REFERENCE,4.4,341157,10000000
BUSINESS,4.1,16129,10000000
BUSINESS,4.3,674730,50000000
BUSINESS,4.4,1254730,10000000
BUSINESS,4.3,85185,5000000
BUSINESS,4.3,32584,1000000
BUSINESS,4.1,217730,50000000
BUSINESS,4.4,70991,5000000
BUSINESS,4.3,1002861,100000000
BUSINESS,3.9,16589,1000000
BUSINESS,4.8,148945,1000000
BUSINESS,4.5,4458,500000
BUSINESS,4.4,62272,10000000
BUSINESS,4.0,8941,5000000
BUSINESS,4.3,46353,1000000
BUSINESS,4.0,1279184,50000000
BUSINESS,4.2,88073,10000000
BUSINESS,4.5,67000,1000000
BUSINESS,4.2,159872,10000000
BUSINESS,4.2,30847,5000000
BUSINESS,4.6,188841,5000000
BUSINESS,4.1,11622,5000000
BUSINESS,4.6,95912,5000000
BUSINESS,3.1,4034,100000
BUSINESS,3.9,45964,1000000
BUSINESS,4.3,14955,1000000
BUSINESS,4.1,6903,1000000
BUSINESS,4.4,31614,10000000
BUSINESS,4.1,23055,5000000
BUSINESS,4.1,19023,1000000
BUSINESS,4.5,207372,5000000
BUSINESS,4.4,1225,100000
BUSINESS,4.4,380837,10000000
BUSINESS,4.3,10600,1000000
BUSINESS,4.4,74359,1000000
BUSINESS,4.6,822,100000
BUSINESS,4.2,80805,5000000
BUSINESS,4.4,2287,1000000
BUSINESS,4.7,4162,100000
BUSINESS,3.8,14760,50000000
BUSINESS,3.9,23243,5000000
BUSINESS,4.191512757553112,9,100000
BUSINESS,4.3,8978,1000000
BUSINESS,4.4,42492,1000000
BUSINESS,4.7,286897,10000000
BUSINESS,4.5,103755,10000000
BUSINESS,4.2,46505,1000000
BUSINESS,4.7,11442,100000
BUSINESS,4.8,10295,100000
BUSINESS,4.2,296,50000
BUSINESS,4.3,29313,5000000
BUSINESS,4.4,51507,5000000
BUSINESS,4.1,1802,100000
BUSINESS,3.8,1383,100000
BUSINESS,4.3,23175,1000000
BUSINESS,3.8,5868,500000
BUSINESS,3.5,2111,100000
BUSINESS,4.1,5448,500000
BUSINESS,4.6,4159,500000
BUSINESS,4.3,20815,1000000
BUSINESS,4.5,78662,1000000
BUSINESS,4.1,7149,1000000
BUSINESS,4.5,3079,100000
BUSINESS,4.6,5800,100000
BUSINESS,4.0,6989,1000000
BUSINESS,4.2,16422,1000000
BUSINESS,4.4,108741,10000000
BUSINESS,4.0,624,100000
BUSINESS,4.2,1661,100000
BUSINESS,4.2,97702,5000000
BUSINESS,4.1,308,50000
BUSINESS,3.8,5211,1000000
BUSINESS,3.9,1058,500000
BUSINESS,3.9,78172,10000000
BUSINESS,4.2,80804,5000000
BUSINESS,4.3,1002859,100000000
BUSINESS,4.4,51510,5000000
BUSINESS,4.5,413,10000
COMICS,4.5,1013635,10000000
COMICS,4.6,24005,500000
COMICS,4.7,57106,1000000
COMICS,4.7,2249,500000
COMICS,4.8,516,50000
COMICS,3.9,834,50000
COMICS,4.1,1010,50000
COMICS,4.4,238970,1000000
COMICS,4.6,302,10000
COMICS,4.5,438,10000
COMICS,4.7,73,10000
COMICS,4.4,39,10000
COMICS,4.5,144,10000
COMICS,3.9,2181,100000
COMICS,3.2,93965,5000000
COMICS,3.2,1446,100000
COMICS,4.1,12088,1000000
COMICS,4.5,314,100000
COMICS,4.2,25671,1000000
COMICS,4.2,15194,1000000
COMICS,3.7,22551,1000000
COMICS,4.5,29839,1000000
COMICS,4.6,279,100000
COMICS,4.5,564387,5000000
COMICS,4.191512757553112,1330,50000
COMICS,4.7,1677,100000
COMICS,4.4,757,10000
COMICS,3.5,115,10000
COMICS,3.3,125,5000
COMICS,4.5,9952,500000
COMICS,4.4,18814,1000000
COMICS,4.2,21,5000
COMICS,5.0,15,1000
COMICS,4.4,51981,5000000
COMICS,4.7,3596,10000
COMICS,4.4,1006,50000
COMICS,4.4,5968,1000000
COMICS,4.6,4895,100000
COMMUNICATION,4.0,56642847,1000000000
COMMUNICATION,4.4,69119316,1000000000
COMMUNICATION,4.3,125257,10000000
COMMUNICATION,4.3,9642995,1000000000
COMMUNICATION,4.4,1429035,100000000
COMMUNICATION,4.3,4604324,1000000000
COMMUNICATION,4.0,3419249,1000000000
COMMUNICATION,4.3,11334799,500000000
COMMUNICATION,4.3,158679,5000000
COMMUNICATION,4.4,3075028,100000000
COMMUNICATION,4.3,4187998,100000000
COMMUNICATION,4.3,659395,100000000
COMMUNICATION,4.3,4785892,500000000
COMMUNICATION,4.3,66602,50000000
COMMUNICATION,4.3,30209,5000000
COMMUNICATION,4.0,36901,5000000
COMMUNICATION,4.5,5149854,100000000
COMMUNICATION,4.3,192948,10000000
COMMUNICATION,3.7,99559,10000000
COMMUNICATION,4.5,437674,10000000
COMMUNICATION,3.9,13698,10000000
COMMUNICATION,4.4,2473509,100000000
COMMUNICATION,3.6,20769,1000000
COMMUNICATION,4.4,36880,1000000
COMMUNICATION,4.2,171031,10000000
COMMUNICATION,4.4,63543,5000000
COMMUNICATION,4.1,45487,10000000
COMMUNICATION,4.4,615381,10000000
COMMUNICATION,4.3,2451083,100000000
COMMUNICATION,4.2,33053,5000000
COMMUNICATION,4.2,5387333,100000000
COMMUNICATION,4.4,3648120,100000000
COMMUNICATION,4.4,136662,10000000
COMMUNICATION,3.9,42370,1000000
COMMUNICATION,4.2,781810,100000000
COMMUNICATION,4.4,3128250,100000000
COMMUNICATION,4.6,2083237,500000000
COMMUNICATION,4.3,541389,10000000
COMMUNICATION,4.3,46702,1000000
COMMUNICATION,4.4,2939,100000
COMMUNICATION,3.7,13761,10000000
COMMUNICATION,4.3,258556,10000000
COMMUNICATION,3.9,40751,10000000
COMMUNICATION,4.5,17712922,500000000
COMMUNICATION,3.7,25021,5000000
COMMUNICATION,4.3,27187,5000000
COMMUNICATION,4.0,56646578,1000000000
COMMUNICATION,4.3,4785988,500000000
COMMUNICATION,4.0,122498,10000000
COMMUNICATION,4.3,11334973,500000000
COMMUNICATION,4.0,3419433,1000000000
COMMUNICATION,4.1,132014,10000000
COMMUNICATION,4.2,83239,5000000
COMMUNICATION,4.2,594728,50000000
COMMUNICATION,4.2,5387446,100000000
COMMUNICATION,4.1,10484169,1000000000
COMMUNICATION,4.4,3128509,100000000
COMMUNICATION,4.3,2451093,100000000
COMMUNICATION,4.4,2876500,100000000
COMMUNICATION,4.1,28238,1000000
COMMUNICATION,4.3,335646,10000000
COMMUNICATION,4.3,350154,10000000
COMMUNICATION,4.5,349384,10000000
COMMUNICATION,4.3,346982,10000000
COMMUNICATION,4.2,244863,10000000
COMMUNICATION,4.2,10790289,500000000
COMMUNICATION,4.5,330761,10000000
COMMUNICATION,4.3,37320,1000000
COMMUNICATION,4.3,12842860,100000000
COMMUNICATION,4.3,2546527,100000000
COMMUNICATION,4.4,36893,1000000
COMMUNICATION,4.2,15880,1000000
COMMUNICATION,4.3,346980,10000000
COMMUNICATION,4.3,9643041,1000000000
COMMUNICATION,4.4,3075118,100000000
COMMUNICATION,4.6,2264916,50000000
COMMUNICATION,4.4,2473693,100000000
COMMUNICATION,4.2,42925,1000000
COMMUNICATION,4.5,5150471,100000000
COMMUNICATION,4.5,2511130,50000000
COMMUNICATION,4.4,3648480,100000000
COMMUNICATION,4.5,17714850,500000000
COMMUNICATION,4.1,13100,1000000
COMMUNICATION,4.2,27156,1000000
COMMUNICATION,4.1,55098,1000000
COMMUNICATION,4.3,1133501,10000000
COMMUNICATION,4.1,12578,500000
COMMUNICATION,4.2,10965,500000
COMMUNICATION,4.0,18247,100000
COMMUNICATION,4.2,190613,10000000
COMMUNICATION,4.2,125232,10000000
COMMUNICATION,4.3,72065,1000000
COMMUNICATION,4.4,27540,1000000
COMMUNICATION,4.2,104990,5000000
COMMUNICATION,4.4,177703,10000000
COMMUNICATION,4.1,17529,1000000
COMMUNICATION,4.2,177263,10000000
COMMUNICATION,4.8,237468,1000000
COMMUNICATION,4.4,32254,1000000
COMMUNICATION,4.4,483565,10000000
COMMUNICATION,4.4,552441,10000000
COMMUNICATION,4.0,60308,5000000
COMMUNICATION,4.5,457283,10000000
COMMUNICATION,4.4,93825,5000000
COMMUNICATION,4.1,32283,1000000
COMMUNICATION,4.2,15287,1000000
COMMUNICATION,4.5,205739,5000000
COMMUNICATION,4.3,14873,1000000
COMMUNICATION,4.5,7820209,100000000
COMMUNICATION,4.0,9498,1000000
COMMUNICATION,4.3,4604483,1000000000
COMMUNICATION,4.3,4188142,100000000
COMMUNICATION,4.2,88427,5000000
COMMUNICATION,4.5,305218,10000000
COMMUNICATION,4.6,183374,1000000
COMMUNICATION,4.1,20901,1000000
COMMUNICATION,4.0,122595,1000000
COMMUNICATION,4.2,124346,10000000
COMMUNICATION,4.6,837842,50000000
COMMUNICATION,4.1,255,10000
COMMUNICATION,4.3,41420,5000000
COMMUNICATION,4.2,44706,1000000
COMMUNICATION,4.3,23707,500000
COMMUNICATION,4.0,3419513,1000000000
COMMUNICATION,4.3,11335255,500000000
COMMUNICATION,4.1,29208,1000000
COMMUNICATION,4.6,191032,5000000
DATING,4.2,1545,10000
DATING,2.6,57,1000
DATING,4.191512757553112,0,50
DATING,4.191512757553112,0,100
DATING,4.191512757553112,4,100
DATING,3.5,2,100
DATING,4.0,516801,10000000
DATING,4.1,285726,10000000
DATING,3.7,76646,10000000
DATING,4.1,2556,100000
DATING,4.2,7779,500000
DATING,4.5,61637,5000000
DATING,4.4,12632,1000000
DATING,4.2,313724,10000000
DATING,4.0,48845,1000000
DATING,4.1,305708,10000000
DATING,3.1,31320,5000000
DATING,4.4,172460,5000000
DATING,4.2,4195,100000
DATING,4.1,11633,500000
DATING,3.9,10212,1000000
DATING,4.3,37053,1000000
DATING,4.4,667,10000
DATING,3.5,13202,1000000
DATING,4.0,28671,1000000
DATING,3.3,1157,100000
DATING,4.5,212626,10000000
DATING,4.4,222888,1000000
DATING,4.1,2067,100000
DATING,3.9,1643,500000
DATING,3.9,105,5000
DATING,3.6,3414,500000
DATING,4.0,42194,5000000
DATING,3.6,11806,1000000
DATING,3.4,1999,100000
DATING,4.2,22544,1000000
DATING,4.1,97684,1000000
DATING,3.4,2519,100000
DATING,3.0,1146,100000
DATING,4.6,13046,500000
DATING,4.1,17268,500000
DATING,3.9,8722,500000
DATING,1.9,953,100000
DATING,3.5,2593,500000
DATING,2.5,5377,500000
DATING,3.9,852,100000
DATING,3.4,212,50000
DATING,3.5,1972,1000000
DATING,4.4,35206,1000000
DATING,3.8,5164,100000
DATING,4.2,1939,100000
DATING,2.5,277,100000
DATING,2.8,80,10000
DATING,4.1,825,100000
DATING,4.2,40035,1000000
DATING,3.5,1093,100000
DATING,4.3,135418,10000000
DATING,3.3,1601,500000
DATING,4.1,2212,100000
DATING,4.2,57081,1000000
DATING,3.5,241,50000
DATING,4.2,63986,5000000
DATING,4.4,7888,500000
DATING,4.1,535,100000
DATING,4.2,5084,100000
DATING,4.3,2430,500000
DATING,3.0,837,100000
DATING,4.0,738,10000
DATING,3.3,4631,100000
DATING,4.1,4953,1000000
DATING,3.7,1439,50000
DATING,3.9,1645,500000
DATING,3.5,13204,1000000
DATING,3.9,853,100000
DATING,4.0,337,10000
DATING,4.6,13049,500000
DATING,4.0,51698,1000000
DATING,4.1,923,100000
DATING,4.2,1546,10000
DATING,3.3,149,10000
DATING,4.4,198,10000
DATING,4.3,135420,10000000
DATING,4.2,22545,1000000
DATING,3.9,8723,500000
DATING,4.3,23170,500000
DATING,3.4,13890,500000
DATING,4.2,57083,1000000
DATING,4.1,537,100000
DATING,4.0,13440,500000
DATING,3.6,143,10000
DATING,4.2,1059,100000
DATING,3.5,894,100000
DATING,4.0,6191,500000
DATING,4.1,15081,1000000
DATING,4.4,218,10000
DATING,4.4,35205,1000000
DATING,4.2,243950,10000000
DATING,4.1,236,10000
DATING,4.2,5152,100000
DATING,3.9,1576,10000
DATING,4.1,6701,1000000
DATING,4.2,40039,1000000
DATING,3.9,742,50000
DATING,4.0,187,10000
DATING,4.2,2506,500000
DATING,4.5,182986,5000000
DATING,3.9,8661,1000000
DATING,3.6,8,1000
DATING,4.4,59,5000
DATING,3.5,35,1000
DATING,4.4,28,500
DATING,4.8,125,5000
DATING,4.6,185,10000
DATING,4.7,6,100
DATING,4.8,110,10000
DATING,4.191512757553112,3,1000
DATING,2.7,3,100
DATING,5.0,5,1000
DATING,4.191512757553112,3,1000
DATING,4.8,84,1000
DATING,5.0,2,100
DATING,4.8,20,500
DATING,4.191512757553112,2,500
DATING,4.9,776,5000
DATING,3.0,2,100
DATING,4.191512757553112,1,100
DATING,4.191512757553112,0,50
DATING,4.7,14,5000
DATING,4.191512757553112,0,50
DATING,4.191512757553112,1,500
DATING,1.0,1,10
DATING,4.191512757553112,3,500
DATING,4.191512757553112,0,500
DATING,4.191512757553112,0,100
DATING,4.191512757553112,24,1000
DATING,4.191512757553112,0,10
DATING,4.191512757553112,23,100
DATING,4.191512757553112,0,10
DATING,5.0,5,500
DATING,4.7,18,500
DATING,4.191512757553112,0,10
DATING,5.0,6,100
DATING,4.191512757553112,1,100
DATING,4.191512757553112,2,10
DATING,4.191512757553112,0,10
DATING,5.0,5,100
DATING,4.191512757553112,0,50
DATING,4.191512757553112,0,100
DATING,4.191512757553112,0,100
DATING,4.191512757553112,0,10
DATING,3.0,1,500
DATING,4.1,11,1000
DATING,4.191512757553112,4,500
DATING,4.191512757553112,14,50
DATING,4.191512757553112,0,1
DATING,4.191512757553112,1,10
DATING,4.191512757553112,104,1000
DATING,4.191512757553112,0,1
DATING,4.191512757553112,14,50
DATING,5.0,3,100
DATING,3.7,101,10000
DATING,4.5,120,500
DATING,4.2,24,1000
DATING,4.191512757553112,0,10
DATING,4.191512757553112,0,5
DATING,4.191512757553112,0,10
DATING,4.3,6,100
DATING,4.1,4954,1000000
DATING,1.9,954,100000
DATING,4.1,2560,100000
DATING,4.191512757553112,21,1000
DATING,4.0,42197,5000000
DATING,3.8,5168,100000
DATING,4.4,12633,1000000
DATING,4.4,41605,500000
DATING,4.3,2433,500000
DATING,3.4,5,500
DATING,4.7,791,10000
DATING,4.8,5323,50000
DATING,4.7,478,10000
DATING,3.5,69,5000
DATING,4.7,158,10000
DATING,3.8,24,1000
DATING,2.9,53,10000
DATING,4.1,97699,1000000
DATING,4.191512757553112,8,5000
EDUCATION,4.7,6289924,100000000
EDUCATION,4.6,181893,10000000
EDUCATION,4.7,2544,100000
EDUCATION,4.6,85375,5000000
EDUCATION,4.7,314299,10000000
EDUCATION,4.191512757553112,776,100000
EDUCATION,4.5,9770,5000000
EDUCATION,4.7,32346,1000000
EDUCATION,4.8,4075,500000
EDUCATION,4.6,10611,500000
EDUCATION,4.6,9321,1000000
EDUCATION,4.6,56065,1000000
EDUCATION,4.2,14286,5000000
EDUCATION,4.9,133136,1000000
EDUCATION,3.8,2469,500000
EDUCATION,4.2,36212,5000000
EDUCATION,4.4,390,500000
EDUCATION,4.4,1090,1000000
EDUCATION,4.3,266948,10000000
EDUCATION,4.5,342918,10000000
EDUCATION,4.4,748,1000000
EDUCATION,4.6,172640,5000000
EDUCATION,3.9,61,50000
EDUCATION,4.4,1619,1000000
EDUCATION,4.3,3168,1000000
EDUCATION,4.4,29855,1000000
EDUCATION,4.2,6736,1000000
EDUCATION,4.4,7005,1000000
EDUCATION,4.0,889,500000
EDUCATION,4.2,5741,1000000
EDUCATION,3.8,27572,5000000
EDUCATION,4.5,10852,1000000
EDUCATION,4.7,9888,500000
EDUCATION,4.5,1929,500000
EDUCATION,4.3,1516,100000
EDUCATION,4.2,215301,10000000
EDUCATION,4.3,423,100000
EDUCATION,4.7,254519,5000000
EDUCATION,4.7,1107903,10000000
EDUCATION,4.6,211856,10000000
EDUCATION,4.5,99020,1000000
EDUCATION,4.4,90481,5000000
EDUCATION,4.6,32381,1000000
EDUCATION,4.5,248912,5000000
EDUCATION,4.5,248555,5000000
EDUCATION,4.4,272145,10000000
EDUCATION,4.4,56897,1000000
EDUCATION,4.2,8599,1000000
EDUCATION,4.5,41185,1000000
EDUCATION,4.1,29980,1000000
EDUCATION,4.0,304,10000
EDUCATION,4.1,358,50000
EDUCATION,4.3,11904,1000000
EDUCATION,4.3,22251,1000000
EDUCATION,4.3,22384,1000000
EDUCATION,4.6,73404,1000000
EDUCATION,4.1,12733,1000000
EDUCATION,4.6,25183,1000000
EDUCATION,4.7,52743,1000000
EDUCATION,4.7,61749,1000000
EDUCATION,4.3,55704,1000000
EDUCATION,4.7,19277,1000000
EDUCATION,4.6,13612,100000
EDUCATION,4.6,37862,1000000
EDUCATION,4.6,18372,100000
EDUCATION,4.3,656,10000
EDUCATION,4.2,240,10000
EDUCATION,4.0,275,50000
EDUCATION,4.5,13791,500000
EDUCATION,4.2,3692,100000
EDUCATION,4.1,2363,100000
EDUCATION,4.4,1769,100000
EDUCATION,4.0,430,10000
EDUCATION,4.5,756,100000
EDUCATION,4.4,3963,100000
EDUCATION,4.0,316,50000
EDUCATION,4.2,642,50000
EDUCATION,4.3,1058,100000
EDUCATION,4.2,2277,100000
EDUCATION,4.7,6290507,100000000
EDUCATION,4.6,32380,1000000
EDUCATION,4.5,172505,5000000
EDUCATION,4.2,69493,10000000
EDUCATION,4.7,1107884,10000000
EDUCATION,4.6,7973,1000000
EDUCATION,4.3,266935,10000000
EDUCATION,4.2,5695,1000000
EDUCATION,4.7,142632,5000000
EDUCATION,4.4,55256,5000000
EDUCATION,4.5,172508,5000000
EDUCATION,4.4,54798,1000000
EDUCATION,4.0,4815,500000
EDUCATION,4.6,75112,1000000
EDUCATION,4.4,33646,1000000
EDUCATION,4.7,314300,10000000
EDUCATION,4.3,206527,10000000
EDUCATION,4.1,9348,1000000
EDUCATION,4.2,3816,500000
EDUCATION,4.3,47847,1000000
EDUCATION,4.3,16195,1000000
EDUCATION,4.3,206,50000
EDUCATION,4.0,28392,1000000
EDUCATION,4.2,3241,100000
EDUCATION,4.0,835,100000
EDUCATION,4.0,2525,100000
EDUCATION,3.8,828,100000
EDUCATION,4.1,200058,10000000
EDUCATION,3.9,1239,100000
EDUCATION,4.1,702,10000
EDUCATION,4.5,108613,10000000
EDUCATION,4.2,69498,10000000
EDUCATION,4.4,148550,10000000
EDUCATION,4.0,3847,500000
EDUCATION,4.4,84309,5000000
EDUCATION,4.7,1107948,10000000
EDUCATION,4.5,14206,500000
EDUCATION,4.3,206532,10000000
EDUCATION,4.3,14700,1000000
EDUCATION,4.5,42828,1000000
EDUCATION,4.2,40209,1000000
EDUCATION,3.5,1405,100000
EDUCATION,4.4,148549,10000000
EDUCATION,4.4,84311,5000000
EDUCATION,4.8,256079,1000000
EDUCATION,4.4,2078,100000
EDUCATION,4.1,16103,1000000
EDUCATION,4.9,11,1000
EDUCATION,4.7,21,1000
EDUCATION,4.7,31085,500000
EDUCATION,4.7,3528,100000
ENTERTAINMENT,4.4,5456208,100000000
ENTERTAINMENT,4.0,11656,1000000
ENTERTAINMENT,4.2,28948,1000000
ENTERTAINMENT,4.3,296771,10000000
ENTERTAINMENT,4.5,470089,50000000
ENTERTAINMENT,3.5,10939,10000000
ENTERTAINMENT,4.2,98509,5000000
ENTERTAINMENT,3.1,5241,5000000
ENTERTAINMENT,4.6,22508,10000000
ENTERTAINMENT,4.2,10291,5000000
